id,name,atk,def,guardian_star_1,guardian_star_2,type,color,level,attribute,starchip_cost,password,description
345,"Final Flame",0,0,None,None,Magic,,0,6,20000,73134081,"Flames inflict\n200 points of damage\nto your opponent's\nLife Points{15}{15}"
346,"Ookazi",0,0,None,None,Magic,,0,6,35000,19523799,"Flames inflict\n{5c}00 points of damage\nto your opponent's\nLife Points{15}"
347,"Tremendous Fire",0,0,None,None,Magic,,0,6,999999,46918794,"An inferno inflicts\n1000 points of\ndamage to your\nopponent's\nLife Points{15}"
348,"Swords of Revealing Light",0,0,None,None,Magic,,0,6,999999,72302403,"Enemy monsters\nare revealed and\nyour opponent\ncannot attack\nfor three turns."
349,"Spellbinding Circle",0,0,None,None,Magic,,0,6,999999,18807108,"A curse reduces the\npower of all enemy\nmonsters{15}"
350,"Dark-piercing Light",0,0,None,None,Magic,,0,6,999999,45895206,"A dazzling light\nreveals all monsters\non the playing field."
351,"Yaranzo",1300,1500,Moon,Mercury,Zombie,,4,Dark,160,71280811,"A monster that\nattacks anybody\nwho attempts\nto open its lid."
352,"Kanan the Swordmistress",1400,1400,Uranus,Neptune,Warrior,,4,Earth,160,12829151,"A lady swordsman\nthat floats like a\nbutterfly and stings\nlike a bee."
353,"Takriminos",1500,1200,Neptune,Mercury,Sea Serpent,,4,Water,140,44073668,"A finned creature\ndistantly related\nto sea Dragons."
354,"Stuffed Animal",1200,900,Moon,Mars,Warrior,,3,Earth,60,71068263,"A deceptively cute\nstuffed animal that\nbites."
355,"Megasonic Eye",1500,1800,Moon,Jupiter,Machine,,5,Dark,290,7562372,"A cryptic doomsday\nmachine that comes\nfrom the edge of\nthe universe."
356,"Super War-lion",2300,2100,Jupiter,Venus,Beast,,7,Earth,999999,,"A very vicious lion\nwith sharp and long\nclaws."
357,"Yamadron",1600,1800,Mars,Uranus,Dragon,,5,Fire,320,70345785,"A three-headed,\nfire-breathing\nmonster."
358,"Seiyaryu",2500,2300,Sun,Neptune,Dragon,,7,Light,1700,6740720,"A sacred dragon\nthat burns away\nwickedness with its\nmystical flames."
359,"Three-legged Zombies",1100,800,Moon,Pluto,Zombie,,3,Dark,50,33734439,"Bony and Tubby,\na friendly pair\nof skeletons."
360,"Zera The Mant",2800,2300,Moon,Saturn,Fiend,,8,Dark,999999,,"A huge,\nbrutal monster that\nattacks with\nrazor-sharp claws."
361,"Flying Penguin",1200,1000,Neptune,Jupiter,Aqua,,4,Water,70,5628232,"A rare penguin that\nflies with the wings\non its head."
362,"Millennium Shield",0,3000,Uranus,Mars,Warrior,,5,Earth,200,32012841,"A Millennium Item\ncandidate that is\nsaid to block any\npowerful attack."
363,"Fairy's Gift",1400,1000,Jupiter,Mercury,Spellcaster,,4,Light,120,68401546,"Flies around\nspreading happiness\nto all."
364,"Black Luster Soldier",3000,2500,Moon,Uranus,Warrior,,8,Dark,999999,,"A powerful warrior\nwith the same\ncapabilities as the\nlegendary Blue-eyes\nWhite Dragon."
365,"Fiend's Mirror",2100,1800,Venus,Pluto,Fiend,,6,Dark,999999,,"An arcane glass\nthat draws\nits enemies into\nthe mirror world."
366,"Labyrinth Wall",0,3000,Uranus,Jupiter,Rock,,5,Earth,200,67284908,"Walls appear\non the field to form\na labyrinth with\nno exit."
367,"Jirai Gumo",2200,100,Jupiter,Uranus,Insect,,4,Earth,80,94773007,"A monster spider\nthat dwells under\nthe earth."
368,"Shadow Ghoul",1600,1300,Moon,Pluto,Zombie,,5,Dark,180,30778711,"A dangerous zombie\nthat crawls\nin the dark."
369,"Wall Shadow",1600,3000,Moon,Neptune,Warrior,,7,Dark,999999,63162310,"An unusually fast\nmonster that sweeps\nacross walls to\nattack its enemies."
370,"Labyrinth Tank",2400,2400,Moon,Mercury,Machine,,7,Dark,999999,99551425,"A tank that races\naround a labyrinth\nhunting down\nits enemies."
371,"Sanga of the Thunder",2600,2200,Pluto,Mars,Thunder,,7,Light,999999,25955164,"A golem that uses\nlightning attacks\nsimilar to the\nLabyrinth Brothers."
372,"Kazejin",2400,2200,Saturn,Mars,Spellcaster,,7,Wind,999999,62340868,"A golem that\ncontrols the winds\nlike the Labyrinth\nBrothers."
373,"Suijin",2500,2400,Neptune,Saturn,Aqua,,7,Water,999999,98434877,"A golem that uses\nwater attacks like\nthe Labyrinth\nBrothers."
374,"Gate Guardian",3750,3400,Moon,Mars,Warrior,,11,Dark,999999,,"Sanga, Kazejin, and\nSuijin join to\nform a single,\npowerful monster."
375,"Dungeon Worm",1800,1500,Uranus,Moon,Insect,,5,Earth,290,51228280,"Hidden under the\nfloors of a labyrinth,\nit swallows any who\npass above."
376,"Monster Tamer",1800,1600,Jupiter,Pluto,Warrior,,5,Earth,320,97612389,"A master of monsters\nthat exercises\ncontrol over several\ncreatures."
377,"Ryu-kishin Powered",1600,1200,Moon,Jupiter,Fiend,,4,Dark,160,24611934,"Ryu-kishin enhanced\nby the powers of\ndarkness. Very sharp\ntalons make it\na worthy opponent."
378,"Swordstalker",2000,1600,Moon,Saturn,Warrior,,6,Dark,400,50005633,"A monster formed by\nthe vengeful souls\nof those who passed\naway in battle."
379,"La Jinn the Mystical Genie",1800,1000,Mercury,Saturn,Fiend,,4,Dark,160,97590747,"A genie of the lamp\nthat's at the beck\nand call of its\nmaster."
380,"Blue-eyes Ultimate Dragon",4500,3800,Sun,Venus,Dragon,,12,Light,999999,,"The ultimate dragon\nformed by the fusion\nof three Blue-eyes\nWhite Dragons."
381,"Toon Alligator",800,1600,Neptune,Mars,Reptile,,4,Water,120,59383041,"An alligator monster\nstraight from the\ncartoons."
382,"Rude Kaiser",1800,1600,Uranus,Sun,Beast-Warrior,,5,Earth,320,26378150,"With an axe in each\nhand, this monster\ndelivers heavy\ndamage."
383,"Parrot Dragon",2000,1300,Saturn,Sun,Dragon,,5,Wind,290,62762898,"A dragon from the\ncartoons that's more\ndangerous than it\nappears to be."
384,"Dark Rabbit",1100,1500,Moon,Uranus,Beast,,4,Dark,120,99261403,"A cartoon rabbit\nthat quickly leaps\nall over the place,\nmaking it a difficult\ntarget."
385,"Bickuribox",2300,2000,Moon,Neptune,Fiend,,7,Dark,900,25655502,"A jack-in-the-box\nthat excels\nin surprise attacks."
386,"Harpie's Pet Dragon",2000,2500,Saturn,Moon,Dragon,,7,Wind,999999,52040216,"A favorite pet for\nharpies, but a very\ndangerous dragon."
387,"Mystic Lamp",400,300,Mercury,Uranus,Spellcaster,,1,Dark,15,98049915,"A lamp used by\nwizards to mix\npotions."
388,"Pendulum Machine",1750,2000,Mercury,Neptune,Machine,,6,Dark,1000,24433920,"A horrible torture\nmachine with a large\npendulum blade."
389,"Giltia the D. Knight",1850,1500,Sun,Mars,Warrior,,5,Light,290,51828629,"Armed with a\nsoul-searing spear,\nthis creature favors\nmagic attacks."
390,"Launcher Spider",2200,2500,Mars,Pluto,Machine,,7,Fire,999999,87322377,"A spider machine\nthat launches\nexplosive rockets\nagainst its enemies."
391,"Zoa",2600,1900,Moon,Mercury,Fiend,,7,Dark,999999,24311372,"A monster whose full\npotential can be\nachieved when\ntransformed into its\nmetal form."
392,"Metalzoa",3000,2300,Moon,Mars,Machine,,8,Dark,999999,50705071,"A metallic Zoa\ncapable of intensive\nattacks."
393,"Zone Eater",250,200,Neptune,Sun,Aqua,,1,Water,10,86100785,"A sea creature that\nswallows enemies and\nslowly digests them."
394,"Steel Scorpion",250,300,Jupiter,Neptune,Machine,,1,Earth,10,13599884,"An iron-tailed\nmonster equipped\nwith very sharp\nscissors."
395,"Dancing Elf",300,200,Jupiter,Sun,Fairy,,1,Wind,10,59983499,"An elf that dances\nacross the sky with\nwings of razor-sharp\nblades."
396,"Ocubeam",1550,1650,Saturn,Venus,Fairy,,5,Light,260,86088138,"Frightening in\nappearance,\nthis creature uses\nits large eyes and\nears to keep track\nof any movement."
397,"Leghul",300,350,Jupiter,Moon,Insect,,1,Earth,15,12472242,"Not a very powerful\nmonster despite its\nlarge fangs and\nspikes."
398,"Ooguchi",300,250,Neptune,Moon,Aqua,,1,Water,10,58861941,"A monstrous bullfrog\nwith poison spikes."
399,"Swordsman from a Foreign Land",250,250,Uranus,Venus,Warrior,,1,Earth,10,85255550,"An eastern warrior\narmed with a cursed\nsword."
400,"Emperor of the Land and Sea",1800,1500,Neptune,Venus,Reptile,,5,Water,290,11250655,"A fire-breathing\nreptilian monster."
401,"Ushi Oni",2150,1950,Jupiter,Venus,Fiend,,6,Dark,700,48649353,"A bull monster\nresurrected by the\ndark arts that\nappears from inside\na jar."
402,"Monster Eye",250,350,Moon,Jupiter,Fiend,,1,Dark,15,84133008,"A servant that\nmaintains a close\nwatch on anything\nand everything.\nIt throws up\na smokescreen\nwhen discovered."
403,"Leogun",1750,1550,Uranus,Mercury,Beast,,5,Earth,290,10538007,"Huge monster\nwith a lion's mane\nsimilar to the\n{70}King of Beasts{70}."
404,"Tatsunootoshigo",1350,1600,Neptune,Mercury,Beast,,5,Earth,180,47922711,"A fast-moving sea\nmonster that has the\nbodies of a horse\nand a fish."
405,"Saber Slasher",1450,1500,Moon,Saturn,Machine,,5,Dark,180,73911410,"A rampaging machine\nthat wields\na massive sword."
406,"Yaiba Robo",1000,1300,Moon,Uranus,Machine,,4,Dark,80,10315429,"A machine with\nseveral blades\nhidden within its\nsquare body."
407,"Machine King",2200,2000,Mars,Sun,Machine,,6,Earth,800,46700124,"Armored with super\nalloy, this robot\nattacks with blasts\nof fire launched from\nboth arms."
408,"Giant Mech-soldier",1750,1900,Moon,Neptune,Machine,,6,Earth,400,72299832,"This monster swings\nan earth-shaking axe\nthat can eliminate\nenemies with a single\nblow."
409,"Metal Dragon",1850,1700,Mars,Moon,Machine,,6,Wind,350,9293977,"A golden,\nfire-breathing dragon\nthat burns any\nopponent in its path."
410,"Mechanical Spider",400,500,Jupiter,Mercury,Machine,,2,Earth,20,45688586,"A spider-shaped,\nmechanized monster\nwith sickles at\nthe end of its legs."
411,"Bat",300,350,Moon,Mercury,Machine,,1,Wind,15,72076281,"A mechanized bat\nthat attacks by\ndropping explosion\norbs."
412,"Giga-tech Wolf",1200,1400,Jupiter,Uranus,Machine,,4,Earth,120,8471389,"A wolf made entirely\nof iron. Its steel\njaws can bite\nthrough anything."
413,"Cyber Soldier",1500,1700,Moon,Mars,Machine,,5,Dark,260,44865098,"Round-shaped\nsoldiers that roll\naround and act as\nguardians to the\nMachine King."
414,"Shovel Crusher",900,1200,Uranus,Neptune,Machine,,3,Earth,60,71950093,"Armed with a pair of\nshovels,\nthis creature is a\nwalking engine\nof destruction."
415,"Mechanicalchacer",1850,800,Moon,Jupiter,Machine,,4,Dark,120,7359741,"A hunter that\nrelentlessly pursues\nits target by order\nof the Machine King."
416,"Blocker",850,1800,Moon,Saturn,Machine,,4,Dark,120,34743446,"Each separate part\nof this creature is\nan individual weapon\ncapable of\ndevastating attacks."
417,"Blast Juggler",800,900,Mars,Venus,Machine,,3,Fire,40,70138455,"A walking time device\nthat loves to blow\nenemies away."
418,"Golgoil",900,1600,Venus,Neptune,Machine,,4,Earth,100,7526150,"A massive iron golem\nthat appears from\na dimensional rift."
419,"Giganto",1700,1800,Moon,Uranus,Machine,,5,Dark,350,33621868,"This creature swings\naround a huge spiked\nball to destroy its\nenemies."
420,"Cyber-Stein",700,500,Moon,Neptune,Machine,,2,Dark,25,69015963,"Created in a\nbasement lab,\nthis infernal machine\nlaunches rockets\nfrom within its\nmouth."
421,"Cyber Commander",750,700,Moon,Mercury,Machine,,2,Dark,30,6400512,"A strike force\nequipped with radar\ndetectors and\nsensors."
422,"Jinzo #7",500,400,Moon,Mars,Machine,,2,Dark,20,32809211,"Created in an\nunderground lab,\nthis artificial being\noccasionally goes\nberserk."
423,"Dice Armadillo",1650,1800,Jupiter,Pluto,Machine,,5,Earth,320,69893315,"An armadillo-like\ncreature that forms\na die whenever it\nrolls up its body."
424,"Sky Dragon",1900,1800,Saturn,Uranus,Dragon,,6,Wind,1000,95288024,"A bird-like dragon\nwith four bladed\nwings."
425,"Thunder Dragon",1600,1500,Pluto,Jupiter,Thunder,,5,Light,230,31786629,"A dragon that\nsummons thunder and\nlightning to attack\nits opponents."
426,"Stone D.",2000,2300,Uranus,Mars,Rock,,7,Earth,900,68171737,"With a body\nconsisting entirely\nof rocks, this dragon\nflings boulders at\nits enemies."
427,"Kaiser Dragon",2300,2000,Sun,Jupiter,Dragon,,7,Light,900,94566432,"A very proud and\npowerful dragon\nemperor."
428,"Magician of Faith",300,400,Sun,Saturn,Spellcaster,,1,Light,999999,31560081,"Despite its weak\nstrength,\nthis creature is\ncapable of casting\nspells to eliminate\ndarkness."
429,"Goddess of Whim",950,700,Sun,Uranus,Fairy,,3,Light,999999,67959180,"A shy goddess that\nseems to spend the\nmajority of her time\nsleeping."
430,"Water Magician",1400,1000,Neptune,Mercury,Aqua,,4,Water,120,93343894,"This creature\nsurrounds opponents\nwith water and\nenvelops them in a\nsweeping attack."
431,"Ice Water",1150,900,Neptune,Moon,Aqua,,3,Water,55,20848593,"A very aggressive\nmermaid with spikes\nfor attacking\nenemies."
432,"Waterdragon Fairy",1100,700,Neptune,Venus,Aqua,,3,Water,45,66836598,"A fairy that wanders\nthe seas.\nRumored to have the\ncapabilities for\nsummoning sea\ndragons."
433,"Ancient Elf",1450,1200,Sun,Pluto,Spellcaster,,4,Light,120,93221206,"This elf is rumored\nto have lived for\nthousands of years.\nHe leads an army of\nspirits against his\nenemies."
434,"Beautiful Beast Trainer",1750,1500,Jupiter,Neptune,Warrior,,5,Earth,260,29616941,"A rare female\nmagic-user armed\nwith a vicious whip."
435,"Water Girl",1250,1000,Neptune,Venus,Aqua,,4,Water,70,55014050,"A beautiful creature\nthat flings icy\narrows."
436,"White Dolphin",500,400,Neptune,Jupiter,Fish,,2,Water,20,92409659,"A white,\nhorned dolphin that\nattacks by calling up\ntidal waves."
437,"Deepsea Shark",1900,1600,Neptune,Mars,Fish,,5,Water,350,28593363,"A violent shark that\nattacks anything\nin the sea."
438,"Metal Fish",1600,1900,Neptune,Saturn,Machine,,5,Water,350,55998462,"A steel fish armed\nwith a sharp dorsal\nfin."
439,"Bottom Dweller",1650,1700,Neptune,Sun,Fish,,5,Water,290,81386177,"A beautiful swimmer\nwith a very nasty\ntemperament."
440,"7 Colored Fish",1800,800,Neptune,Sun,Fish,,4,Water,120,23771716,"A rare rainbow fish\nthat is almost\nimpossible to catch."
441,"Mech Bass",1800,1500,Neptune,Venus,Machine,,5,Water,290,50176820,"This creature\ncarries a plasma\ncannon on its back."
442,"Aqua Dragon",2250,1900,Neptune,Moon,Sea Serpent,,6,Water,700,86164529,"A dragon that dwells\nin the sea. It is\ncapable of spitting\nhigh-pressure blasts\nof water."
443,"Sea King Dragon",2000,1700,Neptune,Mercury,Sea Serpent,,6,Water,1000,23659124,"The king of the seas,\nthis creature is\nprotected by a solid\nshell and spits\npoisonous bubbles at\nits enemies."
444,"Turu-Purun",450,500,Neptune,Jupiter,Aqua,,2,Water,20,59053232,"A strange, one-eyed\nmonster armed with\na dangerous spear."
445,"Guardian of the Sea",1300,1000,Neptune,Mars,Aqua,,4,Water,80,85448931,"A merman warrior\nthat attacks anyone\nwho dares to pollute\nthe sea."
446,"Aqua Snake",1050,900,Neptune,Saturn,Aqua,,3,Water,50,12436646,"A creature that\ndrowns its opponents\nby mesmerizing them\nwith the ball on the\nend of its tail."
447,"Giant Red Seasnake",1800,800,Neptune,Sun,Aqua,,4,Water,120,58831685,"A sea serpent that\nbites anything that\npasses nearby."
448,"Spike Seadra",1600,1300,Pluto,Mercury,Sea Serpent,,5,Water,180,85326399,"Using the spikes\nsprouting from its\nbody, this creature\nstabs its opponents\nand floods them with\nelectricity."
449,"30,000-Year White Turtle",1250,2100,Neptune,Moon,Aqua,,5,Water,290,11714098,"A massive and\nwell-protected\ngiant turtle that\nhas lived over 30000\nyears."
450,"Kappa Avenger",1200,900,Neptune,Venus,Aqua,,3,Water,60,48109103,"An amphibian sworn\nto avenge the death\nof its brothers."
451,"Kanikabuto",650,900,Neptune,Saturn,Aqua,,3,Water,30,84103702,"A crab monster with\ntwo massive scissors\nfor cutting up\nenemies."
452,"Zarigun",600,700,Neptune,Mercury,Aqua,,2,Water,30,10598400,"A newly evolved\ncrayfish with sharp\nscissors for clipping\nthe enemy."
453,"Millennium Golem",2000,2200,Uranus,Jupiter,Rock,,6,Earth,800,47986555,"A golem that has\nprotected treasure\nfor nearly\na millennium."
454,"Destroyer Golem",1500,1000,Uranus,Sun,Rock,,4,Earth,100,73481154,"A golem with a\nmassive right hand\nfor crushing its\nvictims."
455,"Barrel Rock",1000,1300,Uranus,Moon,Rock,,4,Earth,80,10476868,"A monster that\ncharges into enemies\nfiring a pair of\ncannons mounted on\nits shoulders."
456,"Minomushi Warrior",1300,1200,Uranus,Venus,Rock,,4,Earth,100,46864967,"A rock warrior that\nwields a very heavy\nsword carved from\nstone."
457,"Stone Ghost",1200,1000,Uranus,Mercury,Rock,,4,Earth,70,72269672,"A creature that\nerupts with anger,\nresulting in a\ncrushing rain of\nboulders."
458,"Kaminari Attack",1900,1400,Pluto,Venus,Thunder,,5,Wind,290,9653271,"A monster that\njudges wrong-doers\nand punishes them\nappropriately."
459,"Tripwire Beast",1200,1300,Pluto,Saturn,Thunder,,4,Earth,100,45042329,"This creature\nattacks enemies\nwith electromagnetic\nwaves."
460,"Bolt Escargot",1400,1500,Pluto,Jupiter,Thunder,,5,Water,180,12146024,"This creature spits\na gooey substance\nthat robs enemies of\nmobility and then\nstuns them with\nelectric shocks."
461,"Bolt Penguin",1100,800,Pluto,Moon,Thunder,,3,Water,50,48531733,"A monster with a pair\nof electric whips\ninstead of arms."
462,"The Immortal of Thunder",1500,1300,Pluto,Sun,Thunder,,4,Light,160,84926738,"A creature that\nattacks enemies\nwith thunderbolts."
463,"Electric Snake",800,900,Pluto,Mars,Thunder,,3,Light,40,11324436,"A serpent with\na tail for\nstoring electricity."
464,"Wing Eagle",1800,1500,Saturn,Mercury,Winged Beast,,5,Wind,290,47319141,"A hunter of the\nskies that has never\nmissed a target."
465,"Punished Eagle",2100,1800,Saturn,Pluto,Winged Beast,,6,Wind,550,74703140,"A judge of the skies\nthat delivers\na sentence with\nits punishing\nsilver-white claws."
466,"Skull Red Bird",1550,1200,Saturn,Sun,Winged Beast,,4,Wind,140,10202894,"This monster swoops\ndown and attacks\nwith a rain of knives\nstored in its wings."
467,"Crimson Sunbird",2300,1800,Mars,Mercury,Winged Beast,,6,Fire,700,46696593,"A monster burning\nwith crimson flames\nand capable of\ndelivering a rain of\nsparks by flapping\nits wings."
468,"Queen Bird",1200,2000,Saturn,Moon,Winged Beast,,5,Wind,260,73081602,"A creature that\nattacks its enemies\nwith its large beak."
469,"Armed Ninja",300,300,Neptune,Mars,Warrior,,1,Earth,15,9076207,"A blue ninja that\nattacks with a large\nsickle and spiked\nfeet."
470,"Magical Ghost",1300,1400,Moon,Pluto,Zombie,,4,Dark,140,46474915,"This creature casts\na spell of terror and\nconfusion just before\nattacking its\nenemies."
471,"Soul Hunter",2200,1800,Moon,Jupiter,Fiend,,6,Dark,800,72869010,"This clown feeds the\nlife force of its\nenemies to\na monstrous lizard."
472,"Air Eater",2100,1600,Moon,Saturn,Fiend,,6,Wind,1000,8353769,"A monster that\nsuffocates its enemy\nby feeding on the\nsurrounding air\nsupply."
473,"Vermillion Sparrow",1900,1500,Mars,Venus,Pyro,,5,Fire,320,35752363,"A fiery warrior\ncreature that\nunleashes intense\nheat from its body."
474,"Sea Kamen",1100,1300,Neptune,Sun,Aqua,,4,Water,120,71746462,"A cruel monster that\nslices up enemies\nwith its sharp claws."
475,"Sinister Serpent",300,250,Neptune,Jupiter,Reptile,,1,Water,10,8131171,"A flying poison snake\nthat is not very\ngood at maneuvering\non the ground."
476,"Ganigumo",600,800,Jupiter,Sun,Insect,,2,Earth,30,34536276,"A spider armed with\nscissors to attack\nanything that\nit traps in its web."
477,"Alinsection",950,700,Jupiter,Moon,Insect,,3,Earth,35,70924884,"A stag beetle\nmonster with\nsaw-toothed horn\nand arms."
478,"Insect Soldiers of the Sky",1000,800,Saturn,Neptune,Insect,,3,Wind,45,7019529,"Insect soldiers that\nattack in swarms."
479,"Cockroach Knight",800,900,Jupiter,Venus,Insect,,3,Earth,999999,33413638,"A cockroach warrior\nthat hides in small\nspaces and emerges\nto attack enemies."
480,"Kuwagata a",1250,1000,Jupiter,Mercury,Insect,,4,Earth,70,60802233,"A violent stag beetle\nwith a razor-like\ncutter."
481,"Burglar",850,800,Jupiter,Uranus,Beast,,3,Earth,35,6297941,"A clever mouse with a\nsharpened left claw."
482,"Pragtical",1900,1500,Uranus,Neptune,Dinosaur,,5,Earth,320,33691040,"A very dangerous\nmonster with spikes\non its head and tail."
483,"Garvas",2000,1700,Jupiter,Pluto,Beast,,6,Earth,1000,69780745,"A malevolent\ncreature that\nresembles a winged\nlion."
484,"Ameba",300,350,Neptune,Moon,Aqua,,1,Water,15,95174353,"A monster that\nenvelops an enemy\nand slowly digests\nit."
485,"Korogashi",550,400,Jupiter,Neptune,Insect,,2,Earth,20,32569498,"This creature rolls\nmassive objects\nto crush its enemies."
486,"Boo Koo",650,500,Sun,Jupiter,Spellcaster,,2,Dark,25,68963107,"A book wizard with\npage after page of\npotent spells."
487,"Flower Wolf",1800,1400,Jupiter,Sun,Beast,,5,Earth,260,95952802,"A beast covered in\nflowers from head to\ntoe."
488,"Rainbow Flower",400,500,Jupiter,Moon,Plant,,2,Earth,20,21347810,"A flower creature\nwith rainbow-colored\nblossoms that lure\nan enemy into its\nwaiting jaws."
489,"Barrel Lily",1100,600,Jupiter,Venus,Plant,,3,Earth,40,67841515,"A dangerous flower\nthat fires pollen\nprojectiles."
490,"Needle Ball",750,700,Moon,Uranus,Fiend,,2,Dark,30,94230224,"A ball covered in\nsharp needles.\nUsually rains down on\nenemies in a group."
491,"Peacock",1700,1500,Jupiter,Mercury,Winged Beast,,5,Wind,260,20624263,"A beautiful peacock-\nlike creature that\nfires its feathers at\nopponents."
492,"Hoshiningen",500,700,Sun,Neptune,Fairy,,2,Light,25,67629977,"Trailed by\na beautiful tail,\nthis shooting star\ninflicts damage when\nit hits an enemy."
493,"Maha Vailo",1550,1400,Sun,Venus,Spellcaster,,4,Light,180,93013676,"A wizard dressed in\nblue who is usually\nfound meditating."
494,"Rainbow Marine Mermaid",1550,1700,Neptune,Venus,Fish,,5,Water,260,29402771,"An unusual mermaid\nthat appears\nwhenever a rainbow\nbridges the sky."
495,"Musician King",1750,1500,Sun,Mars,Spellcaster,,5,Light,260,56907389,"A fantastic guitar\nplayer that attacks\nenemies with\nultrasonic emissions."
496,"Wilmee",1000,1200,Jupiter,Uranus,Beast,,4,Earth,70,92391084,"A ferocious rabbit\nwith sharp claws."
497,"Yado Karu",900,1700,Neptune,Mercury,Aqua,,4,Water,120,29380133,"A hermit crab with\nthe head of a dragon."
498,"Morinphen",1550,1300,Moon,Neptune,Fiend,,5,Dark,160,55784832,"A strange fiend\nwith long arms and\nrazor-sharp talons."
499,"Kattapillar",250,300,Jupiter,Neptune,Insect,,1,Earth,999999,81179446,"Attacks by blowing\nwebs at its enemies.\nNobody knows what\nthe final form of this\ninsect might be."
500,"Dragon Seeker",2000,2100,Moon,Mercury,Fiend,,6,Dark,700,28563545,"A fearsome monster\nsent from the\nnetherworld\nto destroy dragons."
501,"Man-eater Bug",450,600,Jupiter,Pluto,Insect,,2,Earth,20,54652250,"A creature that\nslices and dices with\nits scissors and\nfeeds off its victims."
502,"D. Human",1300,1100,Uranus,Mars,Warrior,,4,Earth,120,81057959,"Gifted with the power\nof dragons,\nthis warrior wields a\nsword created from a\ndragon's fang."
503,"Turtle Raccoon",700,900,Jupiter,Sun,Aqua,,3,Water,35,17441953,"A fox-like creature\nwith a protective\nshell."
504,"Fungi of the Musk",400,300,Jupiter,Moon,Fiend,,1,Dark,15,53830602,"A monster that leaks\nacid from its pores\nto melt anything that\ntouches its skin."
505,"Prisman",800,1000,Uranus,Jupiter,Rock,,3,Light,45,80234301,"A clear crystal that\nfocuses light to\ncreate a powerful\nlaser beam."
506,"Gale Dogra",650,600,Jupiter,Venus,Insect,,2,Earth,25,16229315,"A huge moth that\ngenerates a\nwhirlwind containing\npoison dust."
507,"Crazy Fish",1600,1200,Neptune,Jupiter,Fish,,4,Water,160,53713014,"A flying fish with\na sharp head for\npiercing targets."
508,"Cyber Saurus",1800,1400,Uranus,Sun,Machine,,5,Earth,260,89112729,"A mechanical dinosaur\nequipped with a beam\ncannon."
509,"Bracchio-raidus",2200,2000,Uranus,Moon,Dinosaur,,6,Water,800,16507828,"A colossal dinosaur\nthat stomps on\nanything that\nwanders into its\npath."
510,"Laughing Flower",900,500,Jupiter,Mercury,Plant,,2,Earth,30,42591472,"A laughing flower\nwhose chuckles can\ndrive an enemy mad."
511,"Bean Soldier",1400,1300,Jupiter,Uranus,Plant,,4,Earth,140,84990171,"A plant warrior that\nattacks with a\ncombination of\nsword-swings and pea\nprojectiles."
512,"Cannon Soldier",1400,1300,Moon,Mars,Machine,,4,Dark,140,11384280,"A highly destructive\nmachine armed with a\npowerful cannon."
513,"Guardian of the Throne Room",1650,1600,Sun,Saturn,Machine,,4,Light,260,47879985,"A sentry robot armed\nwith homing rockets\nfor guarding throne\nrooms from intruders."
514,"Brave Scizzar",1300,1000,Moon,Jupiter,Machine,,4,Dark,80,74277583,"A creature capable\nof manipulating\nseveral scissors\nwith definite results."
515,"The Statue of Easter Island",1100,1400,Uranus,Venus,Rock,,4,Earth,100,10262698,"A massive stone idol\nfrom Easter Island\nthat fires laser\nrings from its mouth."
516,"Muka Muka",600,300,Uranus,Mercury,Rock,,2,Earth,20,46657337,"A monster that\nangers an opponent\nto the point that\nthe enemy goes\nberserk."
517,"Sand Stone",1300,1600,Uranus,Mars,Rock,,5,Earth,180,73051941,"Appears from\nunderground and\nattacks with long,\nsnake-like tentacles."
518,"Boulder Tortoise",1450,2200,Uranus,Neptune,Aqua,,6,Earth,400,9540040,"A stone turtle with\na very high defense\nfactor."
519,"Fire Kraken",1600,1500,Mars,Saturn,Aqua,,4,Fire,230,46534755,"A fiery squid that\ncan maintain its\nflames underwater."
520,"Turtle Bird",1900,1700,Saturn,Mars,Aqua,,6,Water,400,72929454,"A rare flying turtle\nthat inhabits the\nsea."
521,"Skullbird",1900,1700,Saturn,Venus,Winged Beast,,6,Wind,400,8327462,"The breath from this\nbird robs creatures\nof their life force."
522,"Monstrous Bird",2000,1900,Saturn,Mercury,Winged Beast,,6,Wind,550,35712107,"A huge bird known\nfor its sharp dive\nattacks."
523,"The Bistro Butcher",1800,1000,Moon,Saturn,Fiend,,4,Dark,160,71107816,"Defeated enemies\nserve as ingredients\nfor this gourmet\nmonster."
524,"Star Boy",550,500,Neptune,Mars,Aqua,,2,Water,20,8201910,"An extraterrestrial\nlife form that loves\nliving in water."
525,"Spirit of the Mountain",1300,1800,Uranus,Jupiter,Spellcaster,,5,Earth,230,34690519,"Music from this\ncreature's flute can\ndrain an enemy's\nwillpower."
526,"Neck Hunter",1750,1900,Moon,Uranus,Fiend,,6,Dark,400,70084224,"Armed with a huge\nsickle, this monster\ncan fire beams from\nits large eyes."
527,"Milus Radiant",300,250,Jupiter,Neptune,Beast,,1,Earth,10,7489323,"Often mistaken as a\ncute pet,\nthis creature is a\nvery dangerous\nbeast."
528,"Togex",1600,1800,Uranus,Sun,Beast,,5,Earth,320,33878931,"A very fast monster\nthat rolls up and\nrams its enemies."
529,"Flame Cerebrus",2100,1800,Mars,Pluto,Pyro,,6,Fire,550,60862676,"A flaming beast that\nis lethal to the\ntouch."
